author,Aristotle,Beauvoir,Berkeley,Davis,Deleuze,Derrida,Descartes,Epictetus,Fichte,Foucault,Hegel,Heidegger,Hume,Husserl,Kant,Keynes,Kripke,Leibniz,Lenin,Lewis,Locke,Malebranche,Marcus Aurelius,Marx,Merleau-Ponty,Moore,Nietzsche,Plato,Popper,Quine,Ricardo,Russell,Smith,Spinoza,Wittgenstein,Wollstonecraft
Hegel,0.41226911544799805,0.28072628378868103,0.4133121371269226,0.20711418986320496,0.3966310918331146,0.5064048171043396,0.4679374396800995,0.3153237998485565,0.46180492639541626,0.3983430862426758,1.0,0.5164543986320496,0.623618483543396,0.42551130056381226,0.5844857692718506,0.321970134973526,0.5091760158538818,0.36115407943725586,0.38918882608413696,0.41550034284591675,0.32472139596939087,0.5664474368095398,0.4182969331741333,0.40921714901924133,0.45213955640792847,0.46609407663345337,0.4219932556152344,0.3649750351905823,0.43443065881729126,0.6183202266693115,0.3557771146297455,0.49656081199645996,0.3456151783466339,0.5882362127304077,0.3983894884586334,0.3920132517814636
Heidegger,0.4152580499649048,0.238669753074646,0.3380196988582611,0.173664391040802,0.24504323303699493,0.5013989806175232,0.48506927490234375,0.17031484842300415,0.3115020990371704,0.3760946989059448,0.5164543986320496,0.9999999403953552,0.411895751953125,0.47438710927963257,0.498940110206604,0.2396918535232544,0.4088793098926544,0.35241854190826416,0.3711090087890625,0.3428972363471985,0.2443588376045227,0.418396532535553,0.35090190172195435,0.33249449729919434,0.5348376035690308,0.38995063304901123,0.2962682545185089,0.39845967292785645,0.3605617880821228,0.572559118270874,0.16801807284355164,0.46721577644348145,0.31045812368392944,0.37514543533325195,0.3404940962791443,0.31476446986198425
Hume,0.46141374111175537,0.38711974024772644,0.3549175560474396,0.35562247037887573,0.3348747193813324,0.5031810998916626,0.46027255058288574,0.35806652903556824,0.3803507089614868,0.38485634326934814,0.623618483543396,0.411895751953125,0.9999998807907104,0.31869611144065857,0.4513982832431793,0.43039995431900024,0.4577575623989105,0.5061312913894653,0.43118739128112793,0.4243752360343933,0.3642648458480835,0.5986288785934448,0.47856059670448303,0.33831197023391724,0.36333590745925903,0.41555076837539673,0.4758221209049225,0.4276089668273926,0.4493250846862793,0.5074700117111206,0.2749238610267639,0.4951893091201782,0.4161835312843323,0.3298773169517517,0.48220616579055786,0.5893616080284119
Husserl,0.3014413118362427,0.20538540184497833,0.4026440382003784,0.2389301359653473,0.34665462374687195,0.32346537709236145,0.5062990784645081,0.20562753081321716,0.43301594257354736,0.35203537344932556,0.42551130056381226,0.47438710927963257,0.31869611144065857,0.9999999403953552,0.4762799143791199,0.2574823796749115,0.3813391327857971,0.26503974199295044,0.24378494918346405,0.36225414276123047,0.1825333833694458,0.33236628770828247,0.23114104568958282,0.3034849166870117,0.5482397079467773,0.4790157377719879,0.206043541431427,0.29343879222869873,0.294644832611084,0.43686702847480774,0.09504280984401703,0.4592459797859192,0.15504537522792816,0.22106973826885223,0.23558872938156128,0.2976825535297394
Kant,0.34600356221199036,0.2675935626029968,0.5298770666122437,0.18293613195419312,0.4444099962711334,0.43889451026916504,0.5181821584701538,0.4435805380344391,0.43783992528915405,0.49752384424209595,0.5844857692718506,0.498940110206604,0.4513982832431793,0.4762799143791199,1.0,0.47650474309921265,0.6028265357017517,0.3759193420410156,0.36007338762283325,0.5290741920471191,0.2687187194824219,0.5425336360931396,0.3898984491825104,0.4096592366695404,0.45461392402648926,0.5360206961631775,0.42170122265815735,0.4275241792201996,0.35956284403800964,0.5638507604598999,0.3632046580314636,0.37338775396347046,0.30784744024276733,0.6119382977485657,0.2509744167327881,0.3193698227405548
Keynes,0.1484588384628296,0.39663147926330566,0.2701113224029541,0.3097619414329529,0.288623183965683,0.33143287897109985,0.2966575622558594,0.3886649012565613,0.14402005076408386,0.26467329263687134,0.321970134973526,0.2396918535232544,0.43039995431900024,0.2574823796749115,0.47650474309921265,1.0,0.4157114028930664,0.23640358448028564,0.48732656240463257,0.32374268770217896,0.39442580938339233,0.3739418685436249,0.3481675982475281,0.4007609486579895,0.1803300678730011,0.3154265880584717,0.41459012031555176,0.36638373136520386,0.450952410697937,0.2937368154525757,0.39636507630348206,0.23337474465370178,0.40617603063583374,0.2654757797718048,0.30554330348968506,0.4385550916194916
Kripke,0.4947468042373657,0.3182353377342224,0.5656217336654663,0.33930790424346924,0.5531839728355408,0.36427950859069824,0.41637343168258667,0.5285699963569641,0.30754438042640686,0.448169469833374,0.5091760158538818,0.4088793098926544,0.4577575623989105,0.3813391327857971,0.6028265357017517,0.4157114028930664,0.9999998807907104,0.40000778436660767,0.29899388551712036,0.5793205499649048,0.39781859517097473,0.5235145092010498,0.5284818410873413,0.3816682696342468,0.2835461497306824,0.5415840744972229,0.4531703591346741,0.4592217803001404,0.3715762495994568,0.46665942668914795,0.2908453345298767,0.40027788281440735,0.26109930872917175,0.5184944272041321,0.26249387860298157,0.4727513790130615
Leibniz,0.37985074520111084,0.22723056375980377,0.3343803286552429,0.18612170219421387,0.4155409634113312,0.4692639112472534,0.27844715118408203,0.3490848243236542,0.285513699054718,0.2937639355659485,0.36115407943725586,0.35241854190826416,0.5061312913894653,0.26503974199295044,0.3759193420410156,0.23640358448028564,0.40000778436660767,0.9999999403953552,0.27807924151420593,0.2736533284187317,0.33062416315078735,0.44617852568626404,0.4449957013130188,0.2599946856498718,0.41161859035491943,0.3899722099304199,0.5421642065048218,0.4632387161254883,0.3718346357345581,0.3843528628349304,0.28336864709854126,0.3492823839187622,0.26802611351013184,0.26967060565948486,0.4029298424720764,0.34520596265792847
Lenin,0.23175185918807983,0.08073453605175018,0.11193174868822098,0.17225250601768494,0.3350678086280823,0.3181403577327728,0.26235926151275635,0.18946439027786255,0.16267871856689453,0.2975388169288635,0.38918882608413696,0.3711090087890625,0.43118739128112793,0.24378494918346405,0.36007338762283325,0.48732656240463257,0.29899388551712036,0.27807924151420593,1.0,0.18203258514404297,0.28312721848487854,0.2870369255542755,0.27828729152679443,0.6372232437133789,0.20679348707199097,0.16167493164539337,0.36544835567474365,0.1795375645160675,0.32310760021209717,0.2972710132598877,0.46841710805892944,0.2676584720611572,0.4910406470298767,0.29005753993988037,0.36914771795272827,0.24416805803775787
Lewis,0.5565327405929565,0.3498696982860565,0.5584924221038818,0.3258807361125946,0.4549071192741394,0.2333446741104126,0.4711867868900299,0.44076424837112427,0.4977278709411621,0.4134267568588257,0.41550034284591675,0.3428972363471985,0.4243752360343933,0.36225414276123047,0.5290741920471191,0.32374268770217896,0.5793205499649048,0.2736533284187317,0.18203258514404297,0.9999999403953552,0.35730215907096863,0.46048516035079956,0.35421299934387207,0.23387083411216736,0.28181368112564087,0.5670027732849121,0.33130547404289246,0.29795217514038086,0.3025411367416382,0.6064074039459229,0.2591273784637451,0.4870990812778473,0.3007780909538269,0.4724372625350952,0.3814108967781067,0.390075147151947
Locke,0.23394903540611267,0.3236426115036011,0.21635377407073975,0.33474603295326233,0.3734727203845978,0.32369956374168396,0.2736504077911377,0.44248247146606445,0.25236982107162476,0.22027260065078735,0.32472139596939087,0.2443588376045227,0.3642648458480835,0.1825333833694458,0.2687187194824219,0.39442580938339233,0.39781859517097473,0.33062416315078735,0.28312721848487854,0.35730215907096863,1.0,0.33635497093200684,0.38162878155708313,0.3022436499595642,0.2131866216659546,0.28396856784820557,0.5187457799911499,0.33464789390563965,0.4991054832935333,0.3002031147480011,0.21057240664958954,0.2559877634048462,0.1958819031715393,0.2979750633239746,0.2906847596168518,0.3697739839553833
